Question,Correct Answer,Correct Index,Option A,Option B,Option C,Option D
"In the movie Sleepers, what was the name of the guard who was Group Leader of the boys while they were at the Wilkinson Home for boys?",Nokes,2,Addison,Nokes,Styler,Ferguson
What recording group made the song Lady Marmalade popular in 1974?,Labelle,3,Boney M.,None of these,Labelle,The Supremes
Guns N Roses was formed by members of two bands merging together. What were these bands?,L.A. Guns and Hollywood Roses,3,Hollywood Guns and L.A. Roses,Western Roses and California Guns,L.A. Guns and Hollywood Roses,California Guns and The Sweet Roses
Much of the Soylent Greens music came from classical composers. Which of these composers’ music was not used on the movie?,Wagner,4,Tchaikovsky,Grieg,Beethoven,Wagner
"What Celtic chieftain fought Julius Caesar in Gaul, in the first century B.C.?",Vercingetorix,1,Vercingetorix,Odoacer,Hasdrubal,Leonidas
Who were the founding members of the band Malice Mizer?,Mana and Kozi,3,Gackt and Mana,Tetsu and Kozi,Mana and Kozi,Gackt and Kami
Luxembourg was not involved in any 20th century war.,False,2,True,False,N/A,N/A
Which song did Elvis Costello play in his first British live TV performance?,Alison,1,Alison,My Aim Is True,Watching The Detectives,Less Than Zero
"American rapper Paul Wall was born on March 30, 1982.",False,1,False,True,N/A,N/A
"In the 1974 film Twisted Brain, the homicidal boy turned into a monster by drinking a chemical. He was was shot by a character portrayed by which NFL player?",Mean Joe Greene,2,Roger Staubach,Mean Joe Greene,Chuck Noll,John Niland
Which of these artists appears in the  Carmen: A Hip Hopera?,Bow Wow,1,Bow Wow,Chris Brown,Soulja Boy,Sean Kingston
Which of these Christmas albums by Alvin and The Chipmunks was released in 1993?,Alvins Christmas Carol,4,Christmas with the Chipmunks,Merry Christmas from the Chipmunks,Christmas with the Chipmunks Vol. 2,Alvins Christmas Carol
What is the name of Packers horse in the film Cannibal! The Musical?,Lianne,2,Leslie,Lianne,Lisa,Gwendaline
"What is the name of the grandmother in the 1987 movie Flowers in the Attic, played by actress Louise Fletcher?",Olivia Foxworth,4,Corrine Dollanganger,Cathy Dollanganger,Carrie Foxworth,Olivia Foxworth
"During filming of The Exorcist, William Friedkin employed many D.W. Griffith-esque manipulations to get desired performances. What did Friedkin do to Reverend William OMalley before the take of him reading last rites to Father Karras?",Slapped him in the face,1,Slapped him in the face,Fired a gun without warning,Spun him around 20 times,Informed him that his dog had just passed away
What name is commonly used to refer to the political events that took place in 1989 and are also known as Revolutions of 1989?,Autumn of Nations,1,Autumn of Nations,The Red Veil,The Liberty Wave,All of these
"In Epic Movie, the character Peter is a spoof of what popular movie?",X-Men,2,Batman,X-Men,None of these,Superman
"In the movie Joe Dirt, where did Joe Dirt lose his parents?",Grand Canyon,3,Yellowstone National Park,Mount Rushmore,Grand Canyon,Sea World
"Before Johnny Depp did it in Fear and Loathing in Las Vegas, which famous actor portrayed a character based on Hunter Thompson in the movie Where the Buffalos roam?",Bill Murray,3,Jim Carrey,David Caradine,Bill Murray,Chevy Chase
What excuse did Ferguson use when he was crying on the stand in the movie Sleepers?,I was drinking then.,3,I hated the boys.,Nokes made me do it.,I was drinking then.,It was part of the job.
Madonna sang this song at the 1st Annual MTV Video Music Awards.,Like a Virgin,1,Like a Virgin,Borderline,Lucky Star,Burning Up
The band Sublime disbanded after Brad Nowells death.,True,1,True,False,N/A,N/A
The song Runaway from Linkin Parks album Hybrid Theory features lyrics about hatred for what?,Lies,4,Ponies,Violence,Hypocrisy,Lies
"My first hit Delta Dawn was released in 1972. Many people refer to me as the wild girl of country music, but I also have other hits like Tennessee Woman.",Tanya Tucker,4,Patty Loveless,Reba McEntire,Trisha Yearwood,Tanya Tucker
Happy Birthday to You was written by two teachers from this city.,Louisville,3,Des Moines,Springfield,Louisville,Chicago
This is the worlds smallest independent state with a population in 2007 of approximately 821.,Vatican City,1,Vatican City,Monaco,San Marino,Tuvalu
"What Canadian lake is the largest in the world, located on an island?",Nettilling Lake,1,Nettilling Lake,Aral,Winnipeg,Michigan
"Corruption scandals and false allegations affect a New York City policeman and his family in Pride and Glory. It stars Edward Norton, Colin Farrell and this great actor from Seinfeld.”",Jon Voight,2,Reni Santoni,Jon Voight,Gene Hackman,Wayne Knight
This 2005 movie is remake of the 1979 film and based on the 1977 Jay Ansen novel of the same name.,The Amityville Horror,4,The Echo,Black Christmas,The Hitcher,The Amityville Horror
"Honoria, sister of the Roman Emperor, broke the peaceful relations between Rome and Attila the Hun  by trying to do what?",Marry Attila,4,Marry Valentinian III,Kill Attila,Kill Valentinian III,Marry Attila
Which of the characters in the 2006 film The Benchwarmers is portrayed by Rob Shneider?,Gus,1,Gus,Tony,Carl,Phil
Brad Pitt was offered the lead role in this Tim Burton movie that was criticized for its violence and bloodshed.,Sleepy Hollow,4,In Dreams,Ed Wood,Sweeney Todd: The Demon Barber of Fleet Street,Sleepy Hollow
His wife was Ruby Dee and together they build a career in movie and television and were both very active in the Civil Rights movement. He starred as the operator of the baitshop in Grumpy Old Men.,Ossie Davis,2,Ozzie Davis,Ossie Davis,Sammy Davis,Sid Davis
Who sings the 1983 song Swingin ?,John Anderson,4,Merle Haggard,Allan Jackson,Willie Nelson,John Anderson
The character of Dennis Nedry gets killed when he stumbles onto a group of this type of dinosaur which spit toxic saliva.,Dilophosaur,3,Carnotaur,Gallimimus,Dilophosaur,Velociraptor
Never Mind the Bollocks is ranked #41 on Rolling Stones list of greatest albums of all time. Who recorded this album?,Sex Pistols,4,The Smyths,The Cure,The Kinks,Sex Pistols
Jean Shepherd narrated A Christmas Story and its sequel My Summer Story.,True,1,True,False,N/A,N/A
The members of rap group Dem Franchize Boyz grew up together in what city?,"Atlanta, Georgia",2,"New York, New York","Atlanta, Georgia","Dallas, Texas","St. Louis, Missouri"
This country artist had number 1 hits with Straight Tequila Night and Money in the Bank.,John Anderson,4,Aaron Tippin,Tim McGraw,Alan Jackson,John Anderson
Name Ursula Andress character’s name in James Bonds Doctor No.,Honey Ryder,3,Tiffany Case,Dominique (Domino) Derval,Honey Ryder,Pussy Galore
How did actress Butterfly McQueen get the name Butterfly?,From a ballet dance she performed,4,From her role in Gone With the Wind,She wanted an unusual name for show business.,It  was her grandmothers name.,From a ballet dance she performed
"A cowboy song, performed by this cowboy/actor/singer/businessman, is heard when the male protagonist of the movie Sleepless in Seattle gets back to dating.",Gene Autry,1,Gene Autry,Tom Mix,Roy Rogers,John Wayne
To what tune are the words for Al N Yetta set?,Alouette,3,Im a Betta from Suwetta,Me and My Baby,Alouette,Take a Letta
Who developed the deadly V-2 combat rocket during World War II and where was it built?,"Werner von Braun, Nordhausen",4,"John Voelker, Nordhausen","Albert Einstein, Hamburg","Heinrich Gerstrond, Frankfurt","Werner von Braun, Nordhausen"
John McVie was bass guitarist of which British-American rock band?,Fleetwood Mac,4,The Who,Led Zeppelin,The Guess Who,Fleetwood Mac
"What is the name of The Rolling Stones song, mentioned in the book Fear and Loathing in Las Vegas, that couldnt be used in the movie version, because there wasnt enough money to buy its rights?",Sympathy for the Devil,3,Angie,Paint it Black,Sympathy for the Devil,Start me up
"What is the title of the popular song by the Eagles that contains the following lyrics: And I was thinking to myself, this could be Heaven or this could be Hell. Then she lit up a candle, and she showed me the way?",Hotel California,4,Desperado,One Of These Nights,Witchy Woman,Hotel California
Most of the European Union members are also part of a Schengen Agreement that allows their citizens to travel without passports across the member states. Which EU member is outside of the Schengen group?,UK,2,Lithuania,UK,Poland,Denmark
In 1999 the US Patent Office issued a patent for a bird diaper.,True,1,True,False,N/A,N/A
"I see dead people. is the quote that everyone remembers from the 1999 movie that took 6th place on the Entertainment Weekly New Classics list.  Haley Joel Osment was brilliant as Cole Sear but who played child psychologist, Dr. Malcom Crowe?",Bruce Willis,2,Donnie Wahlberg,Bruce Willis,George Clooney,Kevin Spacey
This singer decided to Save the Best For Last in the year 1992.,Vanessa Williams,1,Vanessa Williams,Suzette Charles,Courtney Lewis,Stacy Lattisaw
Who was lead vocalist of Black Sabbath in 1981?,Ronnie James Dio,1,Ronnie James Dio,Ian Gillan,Tony Martin,Ozzy Osbourne
"In Jackass: The Movie, when Johnny Knoxville is dressed as the old man and he is shoplifting he says that he was once the lover of which one of these people?",Lon Cheney,1,Lon Cheney,Cary Grant,Greta Garbo,Anne Francis
"Butterfly Kisses is a song from 1997 that is often used at weddings in North America, when it is time for the bride to share a dance with her father. What singer gave us this beautiful hit song?",Bob Carlisle,1,Bob Carlisle,Joe Lagalante,Angelo Kostaris,Bill Carlyle
This cult film was written and directed by David Lynch and had a budget of $6 million.,Blue Velvet,1,Blue Velvet,Henry: Portrait of a Serial Killer,Under The Cherry Moon,Children of a Lesser God
"The greatest fame for this actress, who passed away in 2000, came when she starred as Margaret Pynchon opposite Edward Asner in Lou Grant.",Nancy Marchand,1,Nancy Marchand,Nancy Sinatra,Nancy Reagan,Nancy Walker
The song The Living Years was the biggest hit song ever or this band in 1989.,Mike + The Mechanics,1,Mike + The Mechanics,Genesis,Cheap Trick,Chicago
"In the song, Jane Said by rock band, Janes Addiction, what affliction is Jane suffering from?",Heroin Addiction,3,Crystal Meth Addiction,Severe Depression,Heroin Addiction,Breast Cancer
The United States Supreme Court declared that this man invented the radio.,N. Tesla,2,H. Hertz,N. Tesla,A. G. Bell,G. Marconi
Who is credited with creating Batman?,Bob Kane,2,Joe Shuster,Bob Kane,Jack Kirby,Jerry Siegel
"As a teenager, Kylie Minogue appeared in this TV series.",All of these,3,The Sullivans,The Henderson Kids,All of these,Skyways
"Who recorded Imagine, the #77 album on Rolling Stone magazines list of the greatest albums of all time?",John Lennon,1,John Lennon,Robert Johnson,Elton John,David Bowie
"What term refers to the horizontal line, 23.5 degrees S, which passes through South America, Africa, and Australia?",Tropic of Capricorn,3,Tropic of Cancer,Prime Meridian,Tropic of Capricorn,Equator
The  main actors in Platoon had to go through a 14-day military boot camp.,True,2,False,True,N/A,N/A
"This traditional Scottish ballad tells the story of Sweet William who died for the love of this lady. Alas, too late she realized her love for him and died of a broken heart. From his grave grew a red, red rose. Who was the lady from whose grave grew a brier?",Barbara Allen,2,Sweet Betsy from Pike,Barbara Allen,Clementine,Yellow Rose of Texas
"On May 22, 1987, a multiple vortex tornado devastated this small Texas town.",Saragosa,1,Saragosa,Texarcico,Northumberland,Zeetop
"What Aberdeen, Washington group, in position # 27 on the list of Immortals of Rock and Roll music, wrote the grunge anthem Smells Like Teen Spirit?",Nirvana,1,Nirvana,Nine Inch Nails,Soundgarden,Red Hot Chili Peppers
What was the first movie directed by Oliver Stone to win the Academy Award for Best Picture?,Platoon,3,Heaven  Earth,Born on the Fourth of July,Platoon,JFK
Who directed the blockbuster movie Forrest Gump?,Robert Zemeckis,2,Steven Soderbergh,Robert Zemeckis,Tony Scott,John Hughes
"The Battle of Passchendaele, the Battle of Cer, and the Battle of the Frontiers were fought during this war.",WWI,1,WWI,Turco-Italian War,Polish-Soviet War,Czechoslovak-Polish War
"In 1980 Bob Marley collapsed while jogging and doctors told him that the cancer had spread through his body. Despite that, he performed his last concert in Pittsburgh on 22 September 1980. Then Bob and his wife flew to Germany, where he was treated by the unconventional Dr. Issels.  His condition improved at first, but Bob Marley later died, on this date.",11 May 1981,2,1 September 1982,11 May 1981,2 June 1983,18 January 1984
What director worked on the 1991 movie Thelma  Louise?,Ridley Scott,1,Ridley Scott,Quentin Tarantino,Martin Scorsese,Oliver Stone
"Who released Sunrise, the #11 album on Rolling Stones list of the 500 Greatest Albums of All Time?",Elvis Presley,1,Elvis Presley,David Bowie,Stevie Wonder,Bob Dylan
"Before joining The Used, Jepha Howard was vocalist in which band?",Strange Itch,3,Unusual Itch,There was no such band.,Strange Itch,Strange Pitch
In what year was Sugar Hill Gangs smash single Rappers Delight released?,1979,3,1981,1983,1979,1980
What year was rock and roll legend Janis Joplin born?,1943,1,1943,1940,1938,1941
"We did not see him, but this country music singer was the balladeer for the The Dukes of Hazzard TV series.",Waylon Jennings,4,Willie Nelson,Kris Kristofferson,Johnny Cash,Waylon Jennings
"This black and white classic, starring Bela Lugosi is the first legitimate zombie film ever made.",White Zombie,3,The Return of the Undead,Zombie Killer,White Zombie,Zombie Hunter
The song All I Want was a pretty big song for this band in 1992.,Toad the Wet Sprocket,3,The Spin Doctors,Faith No More,Toad the Wet Sprocket,The Gin Blossoms
Sizzlas dreadlocks have never been seen on his album covers.,False,1,False,True,N/A,N/A
"On February 22, 1990, Milli Vanilli won a Grammy in which category?",Best New Artist,3,Best Produced Album,Best New Duo,Best New Artist,Best Backup Vocals
"Who performs Nobody Does It Better, the theme song of the movie The Spy Who Loved Me?",Carly Simon,4,Maxine Nightingale,Karen Young,Amanda Lear,Carly Simon
Approximately how many Orcs participate in the battle of Helms Deep in the movie Lord of the Rings?,"10,000",1,"10,000","500,000","50,000","100,000"
"In Wedding Crashers, Owen Wilsons character falls in love with Claire Cleary. He later gets introduced to William Cleary, played by Christopher Walken. What is William Clearys profession?",U.S. Treasury Secretary,2,U.S. National Security,U.S. Treasury Secretary,U.S. Minister of State,U.S. General Marshall
"What popular song by Sonny  Cher contain the following lyrics: Then put your little hand in mine, there aint no hill or mountain we cant climb?",I Got You Babe,3,Just You,Let It Be Me,I Got You Babe,Its Gonna Rain
"In this movie, a high schoolers family and friends become convinced she is homosexual and send her to a residential therapy camp to cure her.",But Im a Cheerleader,4,Chutney Popcorn,Mumford,Election,But Im a Cheerleader
"Phil Lesh, a member of The Grateful Dead, was a graduate of what high school?",Berkeley High School,2,"Gunn High School (Palo Alto, CA)",Berkeley High School,Palo Alto High School,"Mt. Tamalpais High School (Marin County, CA)"
Who performed the song What Its Like in 1998?,Everlast,2,Collective Soul,Everlast,Lenny Kravitz,Kid Rock
John Hammond was the main force in developing the career of Charley Christian. What was his main instrument?,guitar,1,guitar,trumpet,tenor  sax,alto sax
The state with the largest area in the lower 48 is?,Texas,2,California,Texas,Montana,Arizona
"At the time GHV2 was released, Madonna had this many children.",2,1,2,3,1,0
Which popular film directed by Bernardo Bertolucci portrays the life of an American widower?,Last Tango in Paris,2,La Luna,Last Tango in Paris,Stealing Beauty,The Dreamers
"The son of this famous singer was kidnapped on December 8, 1963 at Harrahs Lake Tahoe.",Frank Sinatra,4,Joey Bishop,Dean Martin,Andy Williams,Frank Sinatra
No stand-ins were used in Alien - the actual actors were in every scene of the movie.,False,1,False,True,N/A,N/A
What is the name of the hotel where Johnny and Penny do a performance each year in the movie Dirty Dancing?,Shelldrake,2,Shalloft,Shelldrake,Catskill,Bucaroon
For which star did Marni Nixon do the off screen singing voice in The King and I in 1956?,Deborah Kerr,1,Deborah Kerr,Susan Hayworth,Natalie Wood,Audrey Hepburn
"Gretchen Wilson is country music singer, whose debut album, Here for the Party,  was released in 2004.",True,2,False,True,N/A,N/A
Youre gonna need a bigger boat is a quote from this 1975 movie.,Jaws,4,Free Willy,Moby Dick,Titanic,Jaws
What was the full name of Demi Moores character in the film St. Elmos Fire?,Jules Jacoby,4,Jules Johnson,Jules Johannsen,Jules Jackson,Jules Jacoby
To whom was the Beethovens Third Symphony originally dedicated?,Napoleon,1,Napoleon,Wellington,Bach,Hayden
She has issued 29 albums and had over 60 million records sold as of 2006.  She is regarded as the Queen of Country Music and did a remake of the Vickie Lawrence tune The Night the Lights Went Out in Georgia.,Reba McIntrye,4,Kitty Wells,Patsy Cline,Tanya Tucker,Reba McIntrye
Who recorded the 1970s hit song Rock  Roll Hoochie Koo?,Rick Derringer,3,Molly Hatchet,Neil Young,Rick Derringer,Garry Glitter
Lena Horne is reportedly a descendant of what US Vice President?,John C.Calhoun,1,John C.Calhoun,Elbridge Gerry,Martin Van Buren,George Washington
Billy Broke My Heart at Walgreens (and Then I Cried All the Way to Sears) is a song by the daughter of Kitty Wells and singer/bandleader Johnnie Wright. Not much is known about this lady since her songs never quite made a hit with the public. Who is she?,Ruby Wright,1,Ruby Wright,Barbara Mandrell,Marie Osmond,Tanya Tucker
"A fierce eating machine, this creature is one of the few non-humans to appear on AFI’s list of the top movie villains, at # 18.",The Shark from Jaws,2,Hal 9000 in 2001: A Space Odyssey,The Shark from Jaws,Terminator from The Terminator,Alien from Aliens
How were women referred to in New York City of 2022 in Soylent Green?,Furniture,2,Toys,Furniture,Playmates,Home-stations
"In the song On the Cover of Rolling Stone Dr Hook has  teenage blue eyed groupies, an Indian guru, and his dad who drives his limousine. Whats the name of his freaky ole lady who embroiders on his jeans?",Cocaine Katy,2,Sexy Sadie,Cocaine Katy,Sweet Betsy from Pike,Sweet Jane
"In the movie Blazing Saddles, Bart was going to be hanged for committing what crime?",Hitting Taggart over the head with a shovel,3,Refusing to work,Walking off the job,Hitting Taggart over the head with a shovel,Hitting Lyle over the head with a shovel
"This group is not only a gospel quartet but it has readily been a backup group for many country-western singers (Patsy Cline, Johnny Horton, George Jones and Kenny Rogers to name a few) as well as for Ricky Nelson for the song Poor Little Fool.",The Jordanaires,3,The Imperials,The Speer Family,The Jordanaires,The Florida Boys
Celine Diones music has been criticized for which of the following?,It was too sentimental.,1,It was too sentimental.,It was too personal.,It portrayed women as weak beings.,It lacked depth.
Maryland Day is celebrated every year on what date?,March 25th,3,The first day of crab season,Preakness Saturday,March 25th,March 1st
"Who directed Return of the Magnificent Seven, the first sequel to The Magnificent Seven?",Burt Kennedy,2,Larry Cohen,Burt Kennedy,Ted Richmond,Elmer Bernstein
"What high school buddy did bassist extraordinaire, Les Claypool, of rock band Primus receive his first bass guitar from?",Billy Gould,2,James Hetfield,Billy Gould,Cliff Burton,Flea
What has happened to Kelly during the four years of Chucks Cast Away?,She got married,4,She waited for Chuck and they married,She couldnt take the pain and passed away,She committed suicide,She got married
"The writer and director of Office Space, Mike Judge, made a cameo appearance in the film.",True,2,False,True,N/A,N/A
Johnny graduated from Hollywood High School in 1964.,True,2,False,True,N/A,N/A
Which artist did The Tom Petty Band support on their first tour of England in 1976?,Nils Loftgren,1,Nils Loftgren,Tom Waits,The Traveling Willburys,Bruce Springsteen
"This Pennsylvania-born trombonist played with some of the finest bands starting at age 16. In 1934 he and his brother formed their own band. Although they were successful, they separated in 1935 and formed separate bands. His biggest hits were Marie and Opus One.",Tommy Dorsey,3,Jack Nanton,Joe Nanton,Tommy Dorsey,Jimmy Dorsey
Is the song All I Can Be performed by Collin Raye?,Yes,1,Yes,No,N/A,N/A
"What popular song contains the lyrics, I felt he found my letters and read each one out loud. I prayed that he would finish, but he just kept right on?",Killing Me Softly With His Song,1,Killing Me Softly With His Song,Man In The Mirror,Lady Marmalade,Aint No Sunshine
The 1990 movie Ghost starred Demi Moore as Oda Mae Brown.,False,2,True,False,N/A,N/A
This soft rock duo released the song heard in the audio clip in 1977.,England Dan  John Ford Coley,3,Seals  Crofts,Brewer  Shipley,England Dan  John Ford Coley,The Bellamy Brothers
"Name the artist who said, I always felt that blues, rock n roll and country are just about a beat apart.",Waylon Jennings,2,Leonard Bernstein,Waylon Jennings,Lou Reed,Dolly Parton
Name the 1985 movie about a bar-owner in Texas whos certain that his wife is cheating on him.  He hires a private detective to spy on her and discovers that she is.  He then asks the investigator to kill her and her lover.,Blood Simple,1,Blood Simple,Death of a Salesman,Urban Cowboy,Red Moon
Little Rock is the capital and most populous city of this US state.,Arkansas,1,Arkansas,Wichita,Kansas,Topeka
"In the movie Red Dawn, when the pilot briefs the Wolverines on the current state of the war, he tells them that in the east they stopped at what geographical landmark?",The Mississippi River,3,The Ohio River,The Missouri River,The Mississippi River,The Colorado River
This great vocalist was born in Brazil in 1942. Although she really has no signature songs she is widely known for her work with Chick Corea on his 1972 album Return to Forever.,Flora Purim,4,Anita Morrea,Asrid Gilberto,Carla Rodrigues,Flora Purim
"Which of these is a line from Collin Rayes song One Boy, One Girl?",This was the day theyd waited for all their lives,3,This was the day theyd been waiting for,This day would be the day they would never forget,This was the day theyd waited for all their lives,This was the day they wanted to remember forever
What is the name of the character played by Dax Shepard in the comedy film Idiocracy?,Frito,4,Doctor,Joe,Prosecutor,Frito
What is the name of the theme song for the movie Aladdin?,Arabian Nights,1,Arabian Nights,Friend Like Me,A Whole New World,Aladdin
Which of these pairs of a musician and a song about Wednesday is wrong?,None of these,4,Wednesday - Tori Amos,Wednesday Week - Elvis Costello,"Wednesday Morning, 3 AM - Simon and Garfunkel",None of these
Which 1986 sci-fi film directed by David Cronenberg is a remake of a 1958 film?,The Fly,3,Braindead,The Thing,The Fly,Scanners
"Prior to every Space Shuttle flight, a series of events take place at Floridas Kennedy Space Center.  The Shuttle is rolled out of its processing hanger on a 96-wheel transporter and carried to this 525 ft. tall building, originally built to assemble Saturn V rockets.",Vehicle Asembly Building (VAB),4,Modules Integration Facility (MIF),Final Inspection Room (FIP),Themal Tile Processing Plant (TTPP),Vehicle Asembly Building (VAB)
What actor starred as Jake in Roman Polanskis 1974 movie Chinatown?,Jack Nicholson,3,Marlon Brando,Dustin Hoffman,Jack Nicholson,Robert De Niro
Who is the terrorists technology expert in Die Hard?,Theo,2,Jeff,Theo,Karl,Charles
"Complete this line of Beyonce’s song ‘Ring the Alarm’: ‘Tell me how should I feel when I know what I know, and … telling me you’re a dog’?",My female intuition,4,Everybody around me,The people that have seen you,My family and homies,My female intuition
"In Los Angeles, Nat King Cole, along with guitarist Oscar Moore and bassist Wesley Prince, formed which group?",The Nat King Cole Trio,4,The Nat Cole Swingers,Nat King Cole and His Court,The Nat Cole Group,The Nat King Cole Trio
Which of these Mediterranean islands belongs to Croatia and is home of the endangered Griffon Vulture?,Cres,3,Filfla,Procida,Cres,Gorgona
"While out with Veronica, Ron is asked to perform for the crowd at Tinos Night Club.  What instrument does he play in the comedy movie Anchorman?",Jazz Flute,3,Violin,Upright Bass,Jazz Flute,Baritone Guitar
"Gary Wright, famous for his 1976 hit Dream Weaver, was a member of what rock group?",Spooky Tooth,3,Procol Harem,Gentle Giant,Spooky Tooth,The Kinks
The first clarinetist in a symphonic orchestra was the father of  which famous man ?,Gallileo,1,Gallileo,Mozart,Corelli,Yani
"This eccentric jazz piano player, known for his impromptu, unpreconceived, and completely improvised performances, got his start as a member of the Charles Lloyd Quartet.",Keith Jarrett,4,McCoy Tyner,Herbie Hancock,Chick Corea,Keith Jarrett
"The French were first to use chemical weapons, during the  World War I.",True,2,False,True,N/A,N/A
What character did Kylie Minogue portray in the 2001 musical movie Moulin Rouge!?,The Green Fairy,1,The Green Fairy,Satine,China Doll,La Petite Princesse
This artist made a watered down version of Little Richards Tutti Frutti to appease pop audiences.,Pat Boone,3,Paul Anka,Neil Sedaka,Pat Boone,Bobby Darin
"Who wrote the song I Will Always Love You, which Whitney Houston covered in 1992 for The Bodyguard soundtrack?",Dolly Paton,4,Aretha Franklin,Patsy Cline,Willie Nelson,Dolly Paton
Who wrote the music and lyics for the 1956 hit show Damn Yankees?,Adler and Ross,1,Adler and Ross,Frank Loesser,Charles Smalls,Rogers and Hart
Which musical term refers to a gradual increase in the volume of a passage of music?,Crescendo,1,Crescendo,Andante,Decrescendo,Poco a poco
This 1988 film won the Oscar for Best Picture at the 61st Academy Awards in 1989.,Rain Man,4,The Accidental Tourist,Dangerous Liaisons,Working Girl,Rain Man
Meryl Streeps performance in this 1982 movie brought her her first Academy Award for Best Actress.,Sophies Choice,2,Silkwood,Sophies Choice,Kramer vs. Kramer,Out of Africa
The 1932 movie Scarface: The Shame of the Nation was based on the life of this notorious gangster.,Al Capone,3,All of these,Vito Corleone,Al Capone,Clyde Barrow
"What is the name of the only album produced by a grunge supergroup of the same name,  made up of members from Pearl Jam and Soundgarden?",Temple of The Dog,1,Temple of The Dog,Mother Love Bone,Skinyard,Mudhoney
When did WWE wrestler Ric Flairs career end?,March 31 2008,4,March 17 2008,"February 27, 2008",March 24 2008,March 31 2008
"Who released the albums Smells Like Children (ep), Mechanical Animals and The Golden Age of Grotesque?",Marilyn Manson,4,Mushroomhead,Machine Head,Masters of Reality,Marilyn Manson
"This album, released in 2005 by Billy Idol, includes the songs Super Overdrive and Evil Eye .",Devils Playground,4,Playing With The Devil,Alive and Kicking,Devils Desire,Devils Playground
"In the film Smokey and the Bandit, in order to do what cant be done, the Bandit and Cletus had to deliver the beer within how many hours?",28,3,48,10,28,25
"What instrument made these men famous: Vladimir Horowitz, Arthur Rubinstein, Sergei Rachmaninoff, and Glenn Gould.",Piano,1,Piano,Violin,Viola,Flute
How many US states border the Gulf of Mexico?,5,3,4,3,5,10
The actor who played the Scarecrow in 2005s Batman Begins originally auditioned for what part?,Batman,1,Batman,Lucius Fox,The Scarecrow,A Person from the League of Darkness
"Who wrote  these  songs: Blame It on the Bossa Nova, Kicks, Who Put  the Bomp, Uptown and Walking in the Rain?",Mann and Weil,4,Neil Diamond,Leiber and Stoller,Gene Pitney,Mann and Weil
What were the first names of the Blues Brothers in the 1980 movie by the same name?,Elwood and Jake,2,Dagwood and Johnnie,Elwood and Jake,Woody and Oscar,Dan and John
What is the capital of Greece?,Athens,2,Ankara,Athens,Sofia,Thessaloniki
What legendary Hollywood actress starred in Alfred Hitchcocks 1954 suspense movie Rear Window?,Grace Kelly,3,Ingrid Bergman,Ginger Rogers,Grace Kelly,Katharine Hepburn
"Ishmael Boorg, a character from the movie Kingpin, bowled against Ernie McCracken in the finals of the Reno Open.",False,2,True,False,N/A,N/A
"Which Radiohead song did Christopher Nolan want to use in Memento, but couldnt due to insufficient budget?",Paranoid Android,3,Kid A,Karma Polcie,Paranoid Android,Fake Plastic Trees
Michael Myers finally kills his other sister in the movie Halloween: Resurrection.,True,1,True,False,N/A,N/A
What is the name of the slightly curved single-edged sword used by Japanese samurai warriors?,Katana,2,Yari,Katana,Yumi,Teppo
"What  Dirty Dancing character delivered the line, Go back to your playpen...Baby.?",Penny,3,Neil,Johnny,Penny,Lisa
What strategy for making a man fall in love works according to Gerard Butlers character in The Ugly Truth?,All of these,2,Manipulation,All of these,Seduction,Lust
"In 1980, Madonna signed a singles contract with Sire Records according to which she was paid how much per song?",USD 5000,3,USD 2000,USD 500,USD 5000,USD 3000
The song Upside Down was a big chart topping hit for this RB diva in 1980.,Diana Ross,4,Natalie Cole,Donna Summer,Aretha Franklin,Diana Ross
"What character from the movie Wedding Crashers said,You shut your mouth when your talking to me?",Mrs. Kroeger,1,Mrs. Kroeger,Mrs. Davis,Mrs. Jones,Mrs. Cleary
How many Oscars did Alfred Hitchcock win for Best Director?,0,2,4,0,5,2
Which actor was Paula Abduls first husband?,Emilio Estevesz,1,Emilio Estevesz,Brad  Beckerman,Charlie Sheen,Anthony Michael Hall
Which event did not occur in the same year as the other three?,Theodore Geisel writes Cat in the Hat.,3,UNIVAC becomes the first mass-produced computer.,Color Television is introduced.,Theodore Geisel writes Cat in the Hat.,Atomic power is introduced.
"What actor played the role of Mr. Rooney, the high school principal, in the 1986 comedy Ferris Buellers Day Off?",Jeffery Jones,1,Jeffery Jones,Charlie Sheen,Matthew Broderick,Alan Ruck
Which of these country artists released the song American Soldier in 2004?,Toby Keith,2,Jason Aldean,Toby Keith,Keith Anderson,Billy Currington
Which of these actors was not considered for the part of Brom the warrior in the movie Eragon?,Sean Connery,4,Jeremy Irons,Ian McKellan,Patrick Stewart,Sean Connery
In what country was Scarlett Johansson born?,In the USA,2,In Germany,In the USA,In Canada,In Denmark
"In the 1965 movie, Thunderball, how many atomic bombs are stolen from the jet fighter that disappears from radar?",Two,2,One,Two,None,Three
"Gustav III of Sweden, a member of a House of Holstein-Gottorp, was assassinated at a midnight masquerade at the Royal Swedish Opera in Stockholm on March 16, 1792. This became the basis of Eugene Scribes libretto for the opera Un Ballo in Maschera (A Masked Ball). Who composed the opera?",Giuseppe Verdi,2,Gioachino Rossini,Giuseppe Verdi,Gaetano Donizetti,Giacomo Puccinis
What Mediterranean island is divided between a Greek community and a Turkish community (although the latter is not internationally recognized as a separate entity)?,Cyprus,1,Cyprus,Crete,Corsica,Malta
